[0/100000] batch loss : 4.7171 | time : 0.17s
[1/100000] mean test loss : 4.7841 -> 4.4666 by 1 grad steps
A check point has been generated : checkpoints/iter_0.pt
[100/100000] batch loss : 4.6198 | time : 6.07s
[200/100000] batch loss : 2.6828 | time : 4.80s
[300/100000] batch loss : 2.4313 | time : 4.98s
[400/100000] batch loss : 3.6797 | time : 4.96s
[500/100000] batch loss : 3.0594 | time : 5.01s
[600/100000] batch loss : 2.2340 | time : 4.97s
[700/100000] batch loss : 3.3765 | time : 4.96s
[800/100000] batch loss : 2.4259 | time : 4.84s
[900/100000] batch loss : 2.1121 | time : 4.92s
[1000/100000] batch loss : 1.7126 | time : 4.83s
[1100/100000] batch loss : 2.0785 | time : 4.91s
[1200/100000] batch loss : 1.9551 | time : 4.95s
[1300/100000] batch loss : 2.4378 | time : 5.01s
[1400/100000] batch loss : 2.3931 | time : 4.98s
[1500/100000] batch loss : 2.2261 | time : 4.96s
[1600/100000] batch loss : 3.7739 | time : 4.87s
[1700/100000] batch loss : 2.7024 | time : 4.77s
[1800/100000] batch loss : 1.6259 | time : 4.77s
[1900/100000] batch loss : 0.7933 | time : 5.04s
[2000/100000] batch loss : 1.6968 | time : 5.02s
[2100/100000] batch loss : 0.8581 | time : 4.89s
[2200/100000] batch loss : 2.5264 | time : 4.91s
[2300/100000] batch loss : 1.7336 | time : 4.94s
[2400/100000] batch loss : 0.9013 | time : 4.95s
[2500/100000] batch loss : 1.0305 | time : 4.91s
[2600/100000] batch loss : 2.6281 | time : 5.02s
[2700/100000] batch loss : 2.7974 | time : 5.00s
[2800/100000] batch loss : 1.0338 | time : 4.98s
[2900/100000] batch loss : 1.0877 | time : 4.98s
[3000/100000] batch loss : 0.8245 | time : 4.98s
[3100/100000] batch loss : 0.9666 | time : 4.81s
[3200/100000] batch loss : 2.5726 | time : 5.29s
[3300/100000] batch loss : 1.2261 | time : 4.96s
[3400/100000] batch loss : 0.9253 | time : 4.93s
[3500/100000] batch loss : 1.6173 | time : 4.99s
[3600/100000] batch loss : 1.2242 | time : 5.04s
[3700/100000] batch loss : 1.2176 | time : 4.96s
[3800/100000] batch loss : 1.0459 | time : 5.00s
[3900/100000] batch loss : 1.7973 | time : 4.94s
[4000/100000] batch loss : 3.7859 | time : 5.59s
[4100/100000] batch loss : 0.6584 | time : 5.73s
[4200/100000] batch loss : 0.8809 | time : 5.86s
[4300/100000] batch loss : 0.8166 | time : 5.81s
[4400/100000] batch loss : 2.8357 | time : 5.26s
[4500/100000] batch loss : 2.1081 | time : 5.01s
[4600/100000] batch loss : 1.6647 | time : 4.95s
[4700/100000] batch loss : 0.6438 | time : 4.98s
[4800/100000] batch loss : 1.3005 | time : 4.99s
[4900/100000] batch loss : 1.3176 | time : 5.00s
[5000/100000] batch loss : 1.8610 | time : 4.95s
[5100/100000] batch loss : 1.1721 | time : 4.98s
[5200/100000] batch loss : 2.0507 | time : 5.02s
[5300/100000] batch loss : 1.5667 | time : 5.09s
[5400/100000] batch loss : 1.7736 | time : 4.98s
[5500/100000] batch loss : 1.9150 | time : 4.96s
[5600/100000] batch loss : 1.1892 | time : 4.92s
[5700/100000] batch loss : 1.9896 | time : 4.91s
[5800/100000] batch loss : 1.3015 | time : 4.83s
[5900/100000] batch loss : 2.2548 | time : 4.82s
[6000/100000] batch loss : 1.1067 | time : 4.97s
[6100/100000] batch loss : 1.3183 | time : 4.97s
[6200/100000] batch loss : 2.2370 | time : 4.84s
[6300/100000] batch loss : 5.5020 | time : 4.77s
[6400/100000] batch loss : 1.4666 | time : 4.95s
[6500/100000] batch loss : 2.4081 | time : 4.78s
[6600/100000] batch loss : 2.1549 | time : 4.74s
[6700/100000] batch loss : 1.2422 | time : 4.91s
[6800/100000] batch loss : 1.4227 | time : 4.94s
[6900/100000] batch loss : 1.1447 | time : 4.89s
[7000/100000] batch loss : 1.7602 | time : 4.89s
[7100/100000] batch loss : 1.8289 | time : 4.91s
[7200/100000] batch loss : 1.2560 | time : 5.07s
[7300/100000] batch loss : 2.1949 | time : 4.96s
[7400/100000] batch loss : 1.1478 | time : 4.90s
[7500/100000] batch loss : 1.8432 | time : 5.05s
[7600/100000] batch loss : 1.3996 | time : 5.46s
[7700/100000] batch loss : 1.8664 | time : 5.11s
[7800/100000] batch loss : 2.3006 | time : 4.98s
[7900/100000] batch loss : 1.0287 | time : 4.95s
[8000/100000] batch loss : 2.4402 | time : 4.91s
[8100/100000] batch loss : 1.9117 | time : 4.88s
[8200/100000] batch loss : 1.7327 | time : 4.91s
[8300/100000] batch loss : 1.6334 | time : 4.93s
[8400/100000] batch loss : 0.9055 | time : 4.92s
[8500/100000] batch loss : 0.7285 | time : 4.89s
[8600/100000] batch loss : 1.0738 | time : 4.86s
[8700/100000] batch loss : 0.8617 | time : 4.94s
[8800/100000] batch loss : 1.4228 | time : 4.90s
[8900/100000] batch loss : 2.0095 | time : 4.91s
[9000/100000] batch loss : 2.1016 | time : 4.96s
[9100/100000] batch loss : 1.4657 | time : 4.88s
[9200/100000] batch loss : 1.9776 | time : 4.99s
[9300/100000] batch loss : 1.3556 | time : 5.01s
[9400/100000] batch loss : 1.5032 | time : 4.91s
[9500/100000] batch loss : 2.4033 | time : 4.96s
[9600/100000] batch loss : 1.2068 | time : 4.97s
[9700/100000] batch loss : 1.3620 | time : 4.90s
[9800/100000] batch loss : 1.2270 | time : 5.13s
[9900/100000] batch loss : 1.5585 | time : 5.11s
[10000/100000] batch loss : 1.0463 | time : 4.78s
[10001/100000] mean test loss : 2.7987 -> 0.5350 by 1 grad steps
A check point has been generated : checkpoints/iter_10000.pt
[10100/100000] batch loss : 1.2772 | time : 6.30s
[10200/100000] batch loss : 1.1480 | time : 4.94s
[10300/100000] batch loss : 1.2208 | time : 5.15s
[10400/100000] batch loss : 1.4033 | time : 4.74s
[10500/100000] batch loss : 1.3637 | time : 4.72s
[10600/100000] batch loss : 1.8310 | time : 4.87s
[10700/100000] batch loss : 0.9580 | time : 4.90s
[10800/100000] batch loss : 0.4264 | time : 5.55s
[10900/100000] batch loss : 1.3581 | time : 5.07s
[11000/100000] batch loss : 1.1148 | time : 4.93s
[11100/100000] batch loss : 2.4258 | time : 4.94s
[11200/100000] batch loss : 1.5235 | time : 4.95s
[11300/100000] batch loss : 1.3356 | time : 4.98s
[11400/100000] batch loss : 1.4473 | time : 4.83s
[11500/100000] batch loss : 2.0890 | time : 4.99s
[11600/100000] batch loss : 0.9520 | time : 4.98s
[11700/100000] batch loss : 1.5343 | time : 4.99s
[11800/100000] batch loss : 0.8170 | time : 4.97s
[11900/100000] batch loss : 1.9865 | time : 4.97s
[12000/100000] batch loss : 1.1189 | time : 5.00s
[12100/100000] batch loss : 1.4931 | time : 4.99s
[12200/100000] batch loss : 1.0370 | time : 4.95s
[12300/100000] batch loss : 1.0490 | time : 4.95s
[12400/100000] batch loss : 1.3046 | time : 4.95s
[12500/100000] batch loss : 1.2956 | time : 4.99s
[12600/100000] batch loss : 0.4077 | time : 4.95s
[12700/100000] batch loss : 1.5215 | time : 4.94s
[12800/100000] batch loss : 1.8219 | time : 5.08s
[12900/100000] batch loss : 0.5886 | time : 5.05s
[13000/100000] batch loss : 2.7756 | time : 4.98s
[13100/100000] batch loss : 1.0819 | time : 5.02s
[13200/100000] batch loss : 0.8631 | time : 5.08s
[13300/100000] batch loss : 1.3835 | time : 5.02s
[13400/100000] batch loss : 0.9649 | time : 5.00s
[13500/100000] batch loss : 0.6975 | time : 4.98s
